Name,Location,Birthdate,Position,Salary
Antony,Chennai,12-05-1988,Software Engineer,62000
Meena R,Cochin,25-03-1992,Support Engineer,45000
Ravi Shankar,Madurai,14-07-1985,Project Manager,82000
Sarah,Mangalore,18-09-1990,Data Analyst,55000
Pradeep Raj,Bengaluru,01-12-1994,Support Engineer,48000
Anitha S,Cochin,22-02-1989,Software Tester,52000
Vignesh M,Hyderabad,05-10-1986,Team Lead,76000
Divya K,Trivandrum,17-04-1995,Support Engineer,47000
Gokul N,Mysuru,09-06-1993,Data Analyst,54000
Karthik R,Chennai,15-08-1987,DevOps Engineer,68000
Akbar,Mysuru,28-11-1991,Business Analyst,60000
Suresh P,Hyderabad,30-01-1984,Database Administrator,75000
Priya L,Madurai,12-07-1996,Support Engineer,42000
Balaji T,Bengaluru,09-09-1983,Product Manager,88000
Keerthana G,Cochin,21-12-1995,Support Engineer,46000
